Module,Component Group,Component Name,Component Handle
DDSI,Entity Support,QoS Matching,qos_matching
DDSI,Incoming RTPS Support,Incoming RTPS Message Handling,incoming_rtps
DDSI,Incoming RTPS Support,Receive Buffers,receive_buffers
DDSI,Initialization and Configuration,Configuration,config
DDSI,Initialization and Configuration,DDSI Initialization,ddsi_init
DDSI,Legacy Security,Legacy SSL Support,legacy_ssl
DDSI,Network Interfaces and Addressing,Ethernet,ethernet
DDSI,Network Interfaces and Addressing,IP Address,ip_address
DDSI,Network Interfaces and Addressing,Locators,locators
DDSI,Network Interfaces and Addressing,Multicast Group,multicast_group
DDSI,Network Interfaces and Addressing,Network Interface Selection,network_if_selection
DDSI,Network Interfaces and Addressing,Network Partitions,network_partitions
DDSI,Network Interfaces and Addressing,Port Mapping,port_mapping
DDSI,Network Transport,Raw Ethernet Transport,raw_ethernet_transport
DDSI,Network Transport,Socket Waitset,socket_waitset
DDSI,Network Transport,TCP Transport,tcp_transport
DDSI,Network Transport,Transport,transport
DDSI,Network Transport,UDP Transport,udp_transport
DDSI,Network Transport,Virtual Network Interface,vnet_if
DDSI,Outgoing RTPS Support,Outgoing RTPS Message Handling,outgoing_rtps
DDSI,Outgoing RTPS Support,RTPS Message Construction,rtps_msg
DDSI,Outgoing RTPS Support,RTPS Submessage Construction,rtps_submsg
DDSI,RTPS Protocol Handling,Discovery,discovery
DDSI,RTPS Protocol Handling,Parameter List Handling,parameter_list
DDSI,RTPS Protocol Handling,Participant Message Data,pmd
DDSI,Security Support,Security Core,security_core
DDSI,Security Support,Security Data,security_data
DDSI,Security Support,Security Entity,security_entity
DDSI,Security Support,Security Handshake,security_handshake
DDSI,Security Support,Security Message Exchange,security_msg_exchange
DDSI,Security Support,Security Utils,security_utils
DDSI,Supporting Functionality,Deadline QoS,deadline_qos
DDSI,Supporting Functionality,Garbage Collector,garbage_collector
DDSI,Supporting Functionality,Iceroryx Support,iceoryx_support
DDSI,Supporting Functionality,Key-Instance Map,key_instance_map
DDSI,Supporting Functionality,Latency Estimation,latency_estim
DDSI,Supporting Functionality,Lease Handling,lease_handling
DDSI,Supporting Functionality,Lifespan QoS,lifespan_qos
DDSI,Supporting Functionality,QoS Handling,qos_handling
DDSI,Supporting Functionality,Thread Support,thread_support
DDSI,Supporting Functionality,Timed Events,timed_events
DDSI,Type Support,Type Support CDR Implementation,typesupport_cdr
DDSI,Type Support,Type Support Interface,typesupport_if
DDSI,Type Support,Type Support Parameter List Implementation,typesupport_pl
DDSI,Type Support,Type Support Pserop Implementation,typesupport_pserop
DDSI,Type Support,Dynamic Type Support,dynamic_type_support
DDSI,Utils,Bitset,bitset
DDSI,Utils,DDSI Byteswapping,ddsi_byteswap
DDSI,Utils,DDSI Freelist,ddsi_freelist
DDSI,Utils,Instance ID,instance_id
DDSI,Utils,Inverse Set,inverset_set
DDSI,Utils,Miscellaneous,misc
DDSI,Utils,Time Utils,time_utils
DDSI,Utils,Vendor Codes,vendor_codes
